Time;Day;Hour;Rownum;L1547777_x;L1022212_x;L1100545_x;L1132034_x;L1132035_x;L1143298_x;L1384705_x;L264453_x;L264454_x;L100353;L100354;L1022209;L1022212;L1089541;L1100545;L1132034;L1132035;L1132037;L1132038;L1143298;L1322753;L1384705;L1391361;L1456129;L1547777;L1598466;L1618689;L1618690;L264453;L264454;L280833;L311809;L313089;L313090;L313857;L314626;L317441;L420353;L442882;L529922;L67074;L74497;L74498;L74499;L75267;L75522;L82947;L82948;L88321;L88322;L92673
1493683200;3;0;1;32;20;20;20;20;12;16;20;20;20,22;8,38;0;0;0,01;7,2;2,96;1,51;6,45;3,15;4,4;12,19;10,46;17,17;43,11;6,31;3,86;13,34;17,68;0;0;14;30,63;9,67;21,5;24,7;34,94;41,72;38,6;8,68;35,78;2,54;5,6;16,31;2,32;21,4;45,41;0,05;0;44,3;86,66;38,91
1493686800;3;1;2;32;20;20;20;20;12;16;20;20;15,37;7,1;0;0;0,01;5,62;2,53;0,56;6,37;3,41;1,8;8,8;7,55;14,66;29,97;4,14;3,57;9,54;10,57;0;0;9,47;25,05;6,92;14,57;19,75;29,12;34,05;28,81;6,36;26,73;1,94;4,8;12,75;1,57;12,39;36,83;0,09;0;34,85;65,75;28,89
1493690400;3;2;3;32;20;20;20;20;12;16;20;20;10,04;5,97;0;0;0,01;5,23;2,76;0,46;6,04;2,25;1,5;7,02;5,76;11,54;25,44;3,95;2,36;7,64;9,14;0;0;7,05;22,24;6,83;12,84;18,65;22,51;28,22;23,71;6,17;22,23;1,67;3,53;12,17;1,4;9;26,91;0,08;0;29,28;54,47;24,12
1493694000;3;3;4;32;20;20;20;20;12;16;20;20;9,24;6,38;0;0;0,01;4,26;1,9;0,46;4,58;2,13;1,25;6,53;3,67;10,93;23,03;4,3;2,46;5,82;8,21;0;0;6,09;22,02;5,51;10,36;17,78;19,68;24,3;22,61;4,73;23,35;1,83;3,11;9,55;1,51;6,74;19,95;0,07;0;24,83;48,81;22,07
1493697600;3;4;5;32;20;20;20;20;12;16;20;20;8,79;6,83;0;0;0,01;3,99;1,6;0,5;3,31;2,9;1,68;6,23;3,58;10,75;20,12;4,54;2,01;5,18;7,87;0;0;4,71;18,35;5,29;11,15;11,61;19,65;23,47;22,19;4,42;22,55;2,12;3,1;7,73;1,6;5,49;15,37;0,04;0;23,36;41,16;19,89
1493701200;3;5;6;32;20;20;20;20;12;16;20;20;8,56;6,53;0,4;0;0,01;4,01;1,91;0,33;5,33;2,32;2,43;7,04;3,63;11,4;21,95;3,7;2;7,19;7,17;0;0,09;5,87;18,92;5,03;13,08;12,32;18,37;27,6;21,78;4,6;21,95;2,97;3,32;9,04;1,76;8,32;15,34;0,05;0;24,19;41,45;19,81
1493704800;3;6;7;32;20;20;20;20;12;16;20;20;10,33;6,61;1,71;0,02;0,27;8,57;2,25;0,9;7,77;3,4;3,42;9,65;5,41;14,1;26,13;5,31;3,22;12,22;9,94;0;0,36;8,12;21,18;8,1;15,48;17,94;19,72;30,61;26,56;5,89;25,26;8,9;4,91;13,74;3,02;10,62;16,29;0,16;0;32,94;54,36;23,34
1493708400;3;7;8;32;20;20;20;20;12;16;20;20;13,83;8,81;3,75;0,03;1,72;10,12;3,64;1,53;10,97;8,77;2,78;14,41;7,58;19,47;29,82;7,1;2,71;22,59;12,9;0;0,7;15,34;28,03;9,14;18,23;30,56;25,23;30,98;36,84;7,01;33,82;17,27;12,84;21,41;6,99;18,78;28,56;0,22;0;56,35;68,05;32,25
1493712000;3;8;9;32;20;20;20;20;12;16;20;20;16,98;8,6;5,36;0,05;4,22;20,96;5,23;1,06;20,99;18,61;2,98;24,61;11,12;20,34;32,39;8,67;2,33;28,81;13,51;0;1,1;20,11;31,41;11,52;19,96;34,39;39,74;34,02;59,53;5,79;45,5;24,79;29,81;24,73;10,69;22,36;44,79;0,74;0;74,81;81,39;50,68
1493715600;3;9;10;32;20;20;20;20;12;16;20;20;17,35;8,41;4,06;0,04;7,83;26,83;3,36;0,95;21,46;25,85;2,75;36,08;12,78;19,5;31,27;10,37;1,81;22,96;13,85;0;0,75;21,41;30,37;12,16;19,21;30,59;39,63;32,13;70,21;5,87;58,66;22,08;43,66;28,75;16,37;23,17;48,46;0,41;0,02;74,43;92,68;43,38
1493719200;3;10;11;32;20;20;20;20;12;16;20;20;15,9;10,58;1,83;0,03;9,35;29,71;4,52;1,41;23,2;30;4,22;36,64;9,71;16,98;36,77;8,67;2,35;19,85;14,99;0;0,4;21,77;30,92;15,34;20,7;29,4;45,79;31,19;72,34;8,31;60,16;14,72;52,74;32,19;20,93;20,21;58,22;1,71;0,08;78,15;108,37;43,87
1493722800;3;11;12;32;20;20;20;20;12;16;20;20;17,38;10,33;1,91;0,05;12,17;29,81;4,47;1,16;20,66;27,29;5,64;34,71;15,9;17,76;39,65;8,39;2,72;22,02;11,61;0,01;0,45;25,47;35,8;15,22;18,23;32,45;51,86;28,13;75,24;7,7;63,14;16,37;54,57;40,33;20,17;22,26;57,21;0,66;0,1;92,31;118,53;47,58
1493726400;3;12;13;32;20;20;20;20;12;16;20;20;20,49;10,49;1,76;0,04;12,71;28,97;5,16;0,83;22,8;28,77;3,33;30,56;12,24;18,23;36,22;8,13;2,17;22,31;10,8;0;0,38;28,98;32,29;12,55;19,4;33,36;50,99;26,27;80,81;7,9;61,49;19,63;46,42;30,2;21,3;22,02;60,56;1,19;0,12;93,8;124,51;52,81
1493730000;3;13;14;32;20;20;20;20;12;16;20;20;20,64;10,73;2,21;0,06;12,11;31,13;5,14;1,27;23,16;27,39;4,34;27,95;11,58;18,58;32,38;9,65;1,4;21,89;11,24;0;0,45;33,41;32,58;13,75;16,49;31,42;50,28;31,47;83,94;6,95;55,75;19,79;38,67;32,39;18,79;23,77;60,31;0,86;0,2;91,51;128,56;49,61
1493733600;3;14;15;32;20;20;20;20;12;16;20;20;20,52;10,32;2,27;0,09;10,2;31,5;4,17;1,21;22,59;27,45;4,19;27;11,57;18,71;34,82;9,75;1,11;22,02;12,49;0,02;0,54;26,36;28,04;11,79;15,5;33,86;45,55;30,54;77,82;7,24;57,13;20,94;29,8;30,55;18,24;24,74;56,38;0,95;0,22;99,02;122,39;46,38
1493737200;3;15;16;32;20;20;20;20;12;16;20;20;21,82;8,1;3,24;0,12;8,11;27,13;6,25;1,32;25,19;23,04;3,65;24,04;14,95;19,37;39,07;8,9;1,69;29,76;12,05;0,01;0,75;27,86;27,94;11,36;20,67;33,9;37,67;27,62;69,96;7,95;58,25;21,86;26,81;35,71;16,48;32,56;53,53;1,1;0,17;104,09;129;48,83
1493740800;3;16;17;32;20;20;20;20;12;16;20;20;21,15;11,06;3,41;0,14;4,8;22,46;6,84;2,19;23,07;12,64;4,14;19,88;15,39;23,08;47,02;8,69;1,4;31,2;12,58;0,02;0,8;25,69;32,75;15,96;22,22;38,62;39,3;33,8;60,69;9,9;56,76;23,43;19,6;37,17;15,89;39,34;55,07;0,91;0,12;108,62;125,34;47,04
1493744400;3;17;18;32;20;20;20;20;12;16;20;20;23,34;13,47;2,57;0,14;1,86;20,63;6,34;2,7;17,74;8,23;4,54;19,48;15,26;26,64;47,61;10,95;1,84;26,13;17,61;0,02;0,58;26,62;35,89;15,84;21,55;41,24;40,35;47,09;55,79;11,39;56,56;19,33;10,88;31,42;11,52;40,22;51,99;1,24;0,02;109,47;125,56;51,65
1493748000;3;18;19;32;20;20;20;20;12;16;20;20;25,43;14,54;2,12;0,08;0,58;20,98;6,15;2,63;15,86;8,16;5,35;20,18;18,42;26,74;55,25;12,42;2,62;29,01;21,2;0;0,46;21,74;38,47;13,97;24,17;42,37;40,15;52,07;52,21;12,94;54,82;15,51;6,89;26,56;8,82;36,98;53,01;1,25;0,09;96,46;126,74;53,25
1493751600;3;19;20;32;20;20;20;20;12;16;20;20;27,29;16,14;1,51;0,07;0,21;22,91;2,53;2,07;15,21;6,38;4,46;21,07;17,37;26,46;54,17;15,28;2,16;26,64;22,09;0;0,32;19,96;44,26;12,4;23,3;37,83;41,48;57,63;53,04;11,96;55,17;10,17;6,48;25,42;8,29;31,74;44,45;1,36;0,15;84,5;129,99;47,85
1493755200;3;20;21;32;20;20;20;20;12;16;20;20;27,84;16,6;1,41;0,06;0,01;20,48;4,24;2,51;17,67;7,66;4,34;23,85;15,41;30,96;58,67;15,66;2,03;25,57;22,38;0,01;0,26;19,52;48,53;13,18;28,84;39,89;44,95;62,17;58,6;11,71;58,04;10,72;6,09;21,76;7;33,96;47,59;0,96;0,04;89,85;137,28;50,31
